,highly_variable
AC021188.4,True
ITPRIPL1,False
ARID5A,False
KANSL3,False
LMAN2L,False
CNNM3,True
ANKRD39,False
SEMA4C,False
FAHD2B,False
ANKRD36,False
AC159540.1,False
COX5B,False
ACTR1B,False
ZAP70,False
TMEM131,False
INPP4A,False
COA5,False
UNC50,False
MGAT4A,False
AC109826.1,False
TSGA10,False
C2ORF15,False
LIPT1,False
MITD1,False
TXNDC9,False
EIF5B,False
REV1,False
AFF3,False
CHST10,True
PDCL3,False
RPL31,False
TBC1D8,False
CNOT11,False
RNF149,False
MAP4K4,False
IL18R1,True
IL18RAP,True
MFSD9,False
TMEM182,False
MRPS9,False
TGFBRAP1,False
AC012360.4,False
RP11-332H14.2,False
C2orf49,False
FHL2,True
NCK2,False
C2orf40,False
UXS1,False
GCC2,False
LIMS1,True
RANBP2,False
CCDC138,False
LINC00116,False
BCL2L11,True
MIR4435-1HG,False
AC017002.1,False
ANAPC1,False
TMEM87B,False
FBLN7,False
ZC3H8,False
ZC3H6,False
TTL,True
POLR1B,False
CHCHD5,False
AC079922.3,False
SLC20A1,False
IL1B,False
PSD4,False
PAX8,False
RP11-65I12.1,False
CBWD2,False
RABL2A,False
SLC35F5,False
AC104653.1,False
ACTR3,False
DDX18,False
CCDC93,True
INSIG2,False
MARCO,False
C2orf76,False
DBI,False
TMEM177,False
PTPN4,False
TMEM185B,False
RALB,False
CLASP1,False
NIFK-AS1,False
NIFK,False
TSN,False
GYPC,False
BIN1,False
ERCC3,False
MAP3K2,True
IWS1,False
LIMS2,False
WDR33,False
SFT2D3,False
POLR2D,False
AMMECR1L,False
RP11-395A13.2,False
SAP130,False
UGGT1,False
HS6ST1,False
SMPD4,False
MZT2B,False
CCDC115,False
IMP4,False
PTPN18,False
ARHGEF4,True
FAM168B,False
PLEKHB2,False
MZT2A,False
MGAT5,False
CCNT2,False
RAB3GAP1,False
ZRANB3,False
R3HDM1,False
UBXN4,False
MCM6,False
DARS,False
CXCR4,False
HNMT,False
SPOPL,False
KYNU,False
ARHGAP15,False
GTDC1,False
ZEB2,True
ORC4,False
MBD5,False
EPC2,False
KIF5C,False
MMADHC,False
RBM43,False
NMI,False
RIF1,False
ARL5A,False
STAM2,False
PRPF40A,False
ARL6IP6,False
NR4A2,False
CYTIP,False
ACVR1,False
WDSUB1,False
BAZ2B,True
MARCH7,False
CD302,False
LY75,False
RBMS1,False
TANK,False
AC009299.3,False
PSMD14,False
SLC4A10,False
DPP4,False
IFIH1,False
GCA,False
COBLL1,False
GALNT3,True
TTC21B,False
STK39,False
CERS6,False
FASTKD1,False
PPIG,False
PHOSPHO2,False
SSB,False
METTL5,False
UBR3,False
GORASP2,False
TLK1,False
METTL8,False
DCAF17,False
CYBRD1,False
DYNC1I2,False
SLC25A12,False
HAT1,False
METAP1D,False
ITGA6,False
AC078883.3,False
AC093818.1,False
PDK1,False
MLTK,False
CDCA7,False
SP3,False
OLA1,False
CIR1,False
SCRN3,True
GPR155,False
WIPF1,False
CHN1,False
ATF2,False
ATP5G3,False
KIAA1715,True
MTX2,False
HNRNPA3,False
NFE2L2,False
AC079305.10,False
AGPS,False
RBM45,False
AC009948.5,False
PRKRA,False
FKBP7,False
PLEKHA3,False
TTN-AS1,False
TTN,False
CCDC141,False
SESTD1,False
CWC22,False
UBE2E3,False
AC104820.2,True
ITGA4,False
SSFA2,False
DNAJC10,False
NUP35,False
AC097500.2,False
ZC3H15,False
WDR75,False
SLC40A1,False
ASNSD1,False
ANKAR,False
OSGEPL1,False
ORMDL1,False
PMS1,False
HIBCH,False
INPP1,False
MFSD6,False
TMEM194B,False
AC093388.3,False
NAB1,True
GLS,False
STAT1,False
STAT4,False
NABP1,False
SDPR,True
SLC39A10,False
STK17B,False
RP11-347P5.1,False
AC020571.3,False
GTF3C3,False
ANKRD44,False
AC013264.2,False
SF3B1,False
COQ10B,False
HSPD1,False
HSPE1,False
MOB4,False
